ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source
7633,Northeast,Delaware,1987,Grazed forest-use land grazed,10,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7634,Northeast,Maryland,1987,Grazed forest-use land grazed,99,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7635,Northeast,District of Columbia,1987,Grazed forest-use land grazed,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7636,Lake States total,Lake States,1987,Grazed forest-use land grazed,3013,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7637,Lake States,Michigan,1987,Grazed forest-use land grazed,384,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7638,Lake States,Wisconsin,1987,Grazed forest-use land grazed,1393,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7639,Lake States,Minnesota,1987,Grazed forest-use land grazed,1236,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7640,Corn Belt total,Corn Belt,1987,Grazed forest-use land grazed,6563,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7641,Corn Belt,Ohio,1987,Grazed forest-use land grazed,629,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7642,Corn Belt,Indiana,1987,Grazed forest-use land grazed,596,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7643,Corn Belt,Illinois,1987,Grazed forest-use land grazed,991,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7644,Corn Belt,Iowa,1987,Grazed forest-use land grazed,1180,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7645,Corn Belt,Missouri,1987,Grazed forest-use land grazed,3167,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7646,Northern Plains total,Northern Plains,1987,Grazed forest-use land grazed,1850,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7647,Northern Plains,North Dakota,1987,Grazed forest-use land grazed,284,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7648,Northern Plains,South Dakota,1987,Grazed forest-use land grazed,682,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7649,Northern Plains,Nebraska,1987,Grazed forest-use land grazed,469,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7650,Northern Plains,Kansas,1987,Grazed forest-use land grazed,415,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7651,Appalachian total,Appalachian,1987,Grazed forest-use land grazed,5011,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7652,Appalachian,Virginia,1987,Grazed forest-use land grazed,1022,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7653,Appalachian,West Virginia,1987,Grazed forest-use land grazed,782,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7654,Appalachian,North Carolina,1987,Grazed forest-use land grazed,679,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7655,Appalachian,Kentucky,1987,Grazed forest-use land grazed,1217,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7656,Appalachian,Tennessee,1987,Grazed forest-use land grazed,1311,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7657,Southeast total,Southeast,1987,Grazed forest-use land grazed,9713,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7658,Southeast,South Carolina,1987,Grazed forest-use land grazed,529,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7659,Southeast,Georgia,1987,Grazed forest-use land grazed,1303,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7660,Southeast,Florida,1987,Grazed forest-use land grazed,6187,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7661,Southeast,Alabama,1987,Grazed forest-use land grazed,1694,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7662,Delta States total,Delta States,1987,Grazed forest-use land grazed,16499,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7663,Delta States,Mississippi,1987,Grazed forest-use land grazed,5494,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7664,Delta States,Arkansas,1987,Grazed forest-use land grazed,4898,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7665,Delta States,Louisiana,1987,Grazed forest-use land grazed,6107,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7666,Southern Plains total,Southern Plains,1987,Grazed forest-use land grazed,13430,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7667,Southern Plains,Oklahoma,1987,Grazed forest-use land grazed,5995,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7668,Southern Plains,Texas,1987,Grazed forest-use land grazed,7435,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7669,Mountain total,Mountain,1987,Grazed forest-use land grazed,68642,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7670,Mountain,Montana,1987,Grazed forest-use land grazed,6953,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7671,Mountain,Idaho,1987,Grazed forest-use land grazed,4868,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7672,Mountain,Wyoming,1987,Grazed forest-use land grazed,3680,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7673,Mountain,Colorado,1987,Grazed forest-use land grazed,11858,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7674,Mountain,New Mexico,1987,Grazed forest-use land grazed,10579,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7675,Mountain,Arizona,1987,Grazed forest-use land grazed,13397,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7676,Mountain,Utah,1987,Grazed forest-use land grazed,10962,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7677,Mountain,Nevada,1987,Grazed forest-use land grazed,6345,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7678,Pacific total,Pacific,1987,Grazed forest-use land grazed,28163,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7679,Pacific,Washington,1987,Grazed forest-use land grazed,3553,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7680,Pacific,Oregon,1987,Grazed forest-use land grazed,11859,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7681,Pacific,California,1987,Grazed forest-use land grazed,12751,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7682,48 States,48 States,1987,Grazed forest-use land grazed,154552,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7683,AK and HI,Alaska,1987,Grazed forest-use land grazed,57,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7684,AK and HI,Hawaii,1987,Grazed forest-use land grazed,414,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7685,U.S. total,U.S. total,1987,Grazed forest-use land grazed,155023,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7686,Northeast total,Northeast,1992,Grazed forest-use land grazed,1409,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7687,Northeast,Maine,1992,Grazed forest-use land grazed,83,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7688,Northeast,New Hampshire,1992,Grazed forest-use land grazed,33,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7689,Northeast,Vermont,1992,Grazed forest-use land grazed,193,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7690,Northeast,Massachusetts,1992,Grazed forest-use land grazed,36,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7691,Northeast,Rhode Island,1992,Grazed forest-use land grazed,5,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7692,Northeast,Connecticut,1992,Grazed forest-use land grazed,29,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7693,Northeast,New York,1992,Grazed forest-use land grazed,404,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7694,Northeast,New Jersey,1992,Grazed forest-use land grazed,16,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7695,Northeast,Pennsylvania,1992,Grazed forest-use land grazed,500,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7696,Northeast,Delaware,1992,Grazed forest-use land grazed,10,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7697,Northeast,Maryland,1992,Grazed forest-use land grazed,100,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7698,Northeast,District of Columbia,1992,Grazed forest-use land grazed,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7699,Lake States total,Lake States,1992,Grazed forest-use land grazed,3088,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7700,Lake States,Michigan,1992,Grazed forest-use land grazed,337,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7701,Lake States,Wisconsin,1992,Grazed forest-use land grazed,1464,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7702,Lake States,Minnesota,1992,Grazed forest-use land grazed,1287,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7703,Corn Belt total,Corn Belt,1992,Grazed forest-use land grazed,6593,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7704,Corn Belt,Ohio,1992,Grazed forest-use land grazed,626,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7705,Corn Belt,Indiana,1992,Grazed forest-use land grazed,558,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7706,Corn Belt,Illinois,1992,Grazed forest-use land grazed,1038,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7707,Corn Belt,Iowa,1992,Grazed forest-use land grazed,1170,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7708,Corn Belt,Missouri,1992,Grazed forest-use land grazed,3201,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7709,Northern Plains total,Northern Plains,1992,Grazed forest-use land grazed,1606,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7710,Northern Plains,North Dakota,1992,Grazed forest-use land grazed,212,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7711,Northern Plains,South Dakota,1992,Grazed forest-use land grazed,814,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7712,Northern Plains,Nebraska,1992,Grazed forest-use land grazed,265,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7713,Northern Plains,Kansas,1992,Grazed forest-use land grazed,315,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7714,Appalachian total,Appalachian,1992,Grazed forest-use land grazed,5181,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7715,Appalachian,Virginia,1992,Grazed forest-use land grazed,1005,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7716,Appalachian,West Virginia,1992,Grazed forest-use land grazed,810,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7717,Appalachian,North Carolina,1992,Grazed forest-use land grazed,708,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7718,Appalachian,Kentucky,1992,Grazed forest-use land grazed,1409,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7719,Appalachian,Tennessee,1992,Grazed forest-use land grazed,1249,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7720,Southeast total,Southeast,1992,Grazed forest-use land grazed,7297,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7721,Southeast,South Carolina,1992,Grazed forest-use land grazed,486,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7722,Southeast,Georgia,1992,Grazed forest-use land grazed,1400,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7723,Southeast,Florida,1992,Grazed forest-use land grazed,3807,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7724,Southeast,Alabama,1992,Grazed forest-use land grazed,1604,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7725,Delta States total,Delta States,1992,Grazed forest-use land grazed,15908,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7726,Delta States,Mississippi,1992,Grazed forest-use land grazed,4964,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
